abejoti 6 ab-ej-o-ti abejoti; vksm. bendr.
rėkt 1 rėk-t rėkti; vksm. bendr.
rėkti 1 rėk-ti rėkti; vksm. bendr.
remontuoti 6 remont-uo-ti remontuoti; vksm. bendr.
remti 14 rem-ti remti; vksm. bendr.
remtis 12 rem-ti-s remtis; vksm. bendr. sngr.
rengti 21 reng-ti rengti; vksm. bendr.
rengtis 2 reng-ti-s rengtis; vksm. bendr. sngr.
reorganizuoti 2 re-organiz-uo-ti reorganizuoti; vksm. bendr.
repetuot 2 repet-uo-t repetuoti; vksm. bendr.
restruktūrizuoti 1 re-struktūr-iz-uo-ti restruktūrizuoti; vksm. bendr.
rezervuoti 2 rezerv-uo-ti rezervuoti; vksm. bendr.
riboti 5 rib-o-ti riboti; vksm. bendr.
riedėti 1 ried-ė-ti riedėti; vksm. bendr.
rietis 1 rie-ti-s rietis; vksm. bendr. sngr.
rikiuotis 1 rik-iuo-ti-s rikiuotis; vksm. bendr. sngr.
riktelėti 1 rik-telė-ti riktelėti; vksm. bendr.
rimti 2 rim-ti rimti; vksm. bendr.
rinkt 2 rink-t rinkti; vksm. bendr.
rinkti 13 rink-ti rinkti; vksm. bendr.
rinktis 17 rink-ti-s rinktis; vksm. bendr. sngr.
rišti 1 riš-ti rišti; vksm. bendr.
ryškėti 1 ryšk-ė-ti ryškėti; vksm. bendr.
ryžtis 3 ryž-ti-s ryžtis; vksm. bendr. sngr.
rodyt 1 rod-y-t rodyti; vksm. bendr.
rodyti 16 rod-y-ti rodyti; vksm. bendr.
rodytis 1 rod-y-ti-s rodytis; vksm. bendr. sngr.
63
rokuotis 1 rok-uo-ti-s rokuotis; vksm. bendr. sngr.
rūkyti 2 rūk-y-ti rūkyti; vksm. bendr.
rungtis 2 rung-ti-s rungtis; vksm. bendr. sngr.
ruošti 10 ruoš-ti ruošti; vksm. bendr.
ruoštis 1 ruoš-ti-s ruoštis; vksm. bendr. sngr.
rūpėt 1 rūp-ė-t rūpėti; vksm. bendr.
rūpėti 1 rūp-ė-ti rūpėti; vksm. bendr.
rūpintis 12 rūp-in-ti-s rūpintis; vksm. bendr. sngr.
rūšiuoti 2 rūš-iuo-ti rūšiuoti; vksm. bendr.
rutuliotis 1 rut-ul-io-ti-s rutuliotis; vksm. bendr. sngr.
sakyt 13 sak-y-t sakyti; vksm. bendr.
sakyti 33 sak-y-ti sakyti; vksm. bendr.
saldinti 1 sal-d-in-ti saldinti; vksm. bendr.
samdytis 1 samd-y-ti-s samdytis; vksm. bendr. sngr.
samprotauti 2 sam-prot-au-ti samprotauti; vksm. bendr.
santykiauti 2 san-tyk-iau-ti santykiauti; vksm. bendr.
saugoti 22 saug-o-ti saugoti; vksm. bendr.
saugotis 3 saug-o-ti-s saugotis; vksm. bendr. sngr.
sąveikauti 2 są-veik-au-ti sąveikauti; vksm. bendr.
sėdėt 3 sėd-ė-t sėdėti; vksm. bendr.
sėdėti 11 sėd-ė-ti sėdėti; vksm. bendr.
segt 1 seg-t segti; vksm. bendr.
sekioti 1 sek-io-ti sekioti; vksm. bendr.
sekti 13 sek-ti sekti; vksm. bendr.
sektis 3 sek-ti-s sektis; vksm. bendr. sngr.
senbernauti 1 sen-bern-au-ti senbernauti; vksm. bendr.
senmergauti 1 sen-merg-au-ti senmergauti; vksm. bendr.
sėst 2 sės-t sėsti; vksm. bendr.
sėsti 4 sės-ti sėsti; vksm. bendr.
sėstis 3 sės-ti-s sėstis; vksm. bendr. sngr.
sėti 1 sė-ti sėti; vksm. bendr.
siaurėti 1 siaur-ė-ti siaurėti; vksm. bendr.
siautėti 1 siaut-ė-ti siautėti; vksm. bendr.
siekt 2 siek-t siekti; vksm. bendr.
siekti 23 siek-ti siekti; vksm. bendr.
siet 1 sie-t sieti; vksm. bendr.
sieti 4 sie-ti sieti; vksm. bendr.
signalizuoti 1 signal-iz-uo-ti signalizuoti; vksm. bendr.
silpnėti 1 silp-n-ė-ti silpnėti; vksm. bendr.
sinchronizuoti 1 sinchron-iz-uo-ti sinchronizuoti; vksm. bendr.
sirgti 4 sirg-ti sirgti; vksm. bendr.
siūlyti 5 siūl-y-ti siūlyti; vksm. bendr.
64
siuntinėti 2 siunt-inė-ti siuntinėti; vksm. bendr.
siurbt 1 siurb-t siurbti; vksm. bendr.
siūruoti 1 siūr-uo-ti siūruoti; vksm. bendr.
siųsti 10 siųs-ti siųsti; vksm. bendr.
siūti 2 siū-ti siūti; vksm. bendr.
siutinti 1 siut-in-ti siutinti; vksm. bendr.
skaičiuot 1 skaič-iuo-t skaičiuoti; vksm. bendr.
skaičiuoti 11 skaič-iuo-ti skaičiuoti; vksm. bendr.
skaityt 6 skait-y-t skaityti; vksm. bendr.
skaityti 24 skait-y-ti skaityti; vksm. bendr.
skalauti 1 skal-au-ti skalauti; vksm. bendr.
skalbti 3 skalb-ti skalbti; vksm. bendr.
skambėti 2 skamb-ė-ti skambėti; vksm. bendr.
skambint 1 skamb-in-t skambinti; vksm. bendr.
skambinti 7 skamb-in-ti skambinti; vksm. bendr.
skatinti 15 skat-in-ti skatinti; vksm. bendr.
skaudėti 2 skaud-ė-ti skaudėti; vksm. bendr.
skelbti 15 skelb-ti skelbti; vksm. bendr.
skeryčiotis 2 skeryč-io-ti-s skeryčiotis; vksm. bendr. sngr.
skiepyti 10 skiep-y-ti skiepyti; vksm. bendr.
skiepytis 4 skiep-y-ti-s skiepytis; vksm. bendr. sngr.
skilti 1 skil-ti skilti; vksm. bendr.
skinti 1 skin-ti skinti; vksm. bendr.
skirstyti 7 skir-sty-ti skirstyti; vksm. bendr.
skirt 2 skir-t skirti; vksm. bendr.
skirti 43 skir-ti skirti; vksm. bendr.
skirtis 9 skir-ti-s skirtis; vksm. bendr. sngr.
sklaidyti 1 sklaid-y-ti sklaidyti; vksm. bendr.
skleisti 4 skleis-ti skleisti; vksm. bendr.
sklist 1 sklis-t sklisti; vksm. bendr.
skolintis 6 skol-in-ti-s skolintis; vksm. bendr. sngr.
skraidyt 1 skraid-y-t skraidyti; vksm. bendr.
skraidyti 3 skraid-y-ti skraidyti; vksm. bendr.
skriausti 1 skriaus-ti skriausti; vksm. bendr.
skrieti 1 skrie-ti skrieti; vksm. bendr.
skrist 4 skris-t skristi; vksm. bendr.
skristi 2 skris-ti skristi; vksm. bendr.
skubėt 1 skub-ė-t skubėti; vksm. bendr.
skubėti 10 skub-ė-ti skubėti; vksm. bendr.
skųsti 2 skųs-ti skųsti; vksm. bendr.
skųstis 4 skųs-ti-s skųstis; vksm. bendr. sngr.
skverbtis 1 skverb-ti-s skverbtis; vksm. bendr. sngr.
65
slankioti 1 slank-io-ti slankioti; vksm. bendr.
slapstytis 1 slap-sty-ti-s slapstytis; vksm. bendr. sngr.
slapukaut 1 slap-uk-au-t slapukauti; vksm. bendr.
slaugyti 3 slaug-y-ti slaugyti; vksm. bendr.
slėpt 1 slėp-t slėpti; vksm. bendr.
slėpti 9 slėp-ti slėpti; vksm. bendr.
slėptis 5 slėp-ti-s slėptis; vksm. bendr. sngr.
slinkti 11 slink-ti slinkti; vksm. bendr.
slūgti 1 slūg-ti slūgti; vksm. bendr.
smaguriauti 1 smag-uriau-ti smaguriauti; vksm. bendr.
smaigstyti 1 smaig-sty-ti smaigstyti; vksm. bendr.
smaugti 1 smaug-ti smaugti; vksm. bendr.
smaukti 1 smauk-ti smaukti; vksm. bendr.
smelktis 1 smelk-ti-s smelktis; vksm. bendr. sngr.
smerkti 1 smerk-ti smerkti; vksm. bendr.
smigti 1 smig-ti smigti; vksm. bendr.
smukti 1 smuk-ti smukti; vksm. bendr.
snūsti 1 snūs-ti snūsti; vksm. bendr.
spardyti 1 spar-dy-ti spardyti; vksm. bendr.
spartinti 1 spart-in-ti spartinti; vksm. bendr.
spausdinti 2 spaus-din-ti spausdinti; vksm. bendr.
spaust 2 spaus-t spausti; vksm. bendr.
spausti 6 spaus-ti spausti; vksm. bendr.
specializuoti 1 special-iz-uo-ti specializuoti; vksm. bendr.
spėlioti 2 spė-lio-ti spėlioti; vksm. bendr.
spėti 5 spė-ti spėti; vksm. bendr.
spjaudyti 1 spjau-dy-ti spjaudyti; vksm. bendr.
spoksoti 1 spoks-o-ti spoksoti; vksm. bendr.
sportuot 2 sport-uo-t sportuoti; vksm. bendr.
spragtelėti 2 sprag-telė-ti spragtelėti; vksm. bendr.
spręst 1 spręs-t spręsti; vksm. bendr.
spręsti 56 spręs-ti spręsti; vksm. bendr.
sprogdinti 1 sprog-din-ti sprogdinti; vksm. bendr.
sprukti 2 spruk-ti sprukti; vksm. bendr.
srėbti 1 srėb-ti srėbti; vksm. bendr.
stabdyti 2 stabd-y-ti stabdyti; vksm. bendr.
stabilizuoti 2 stabil-iz-uo-ti stabilizuoti; vksm. bendr.
stabtelėti 2 stab-telė-ti stabtelėti; vksm. bendr.
startuoti 1 start-uo-ti startuoti; vksm. bendr.
statyt 3 stat-y-t statyti; vksm. bendr.
statyti 29 stat-y-ti statyti; vksm. bendr.
statytis 1 stat-y-ti-s statytis; vksm. bendr. sngr.
66
stebėti 21 steb-ė-ti stebėti; vksm. bendr.
stebėtis 6 steb-ė-ti-s stebėtis; vksm. bendr. sngr.
steigti 14 steig-ti steigti; vksm. bendr.
steigtis 1 steig-ti-s steigtis; vksm. bendr. sngr.
stengtis 14 steng-ti-s stengtis; vksm. bendr. sngr.
stigti 1 stig-ti stigti; vksm. bendr.
stimuliuoti 1 stimul-iuo-ti stimuliuoti; vksm. bendr.
stiprinti 5 stipr-in-ti stiprinti; vksm. bendr.
stoti 6 sto-ti stoti; vksm. bendr.
stotis 5 sto-ti-s stotis; vksm. bendr. sngr.
stovėti 6 stov-ė-ti stovėti; vksm. bendr.
streikuoti 1 streik-uo-ti streikuoti; vksm. bendr.
stripčioti 1 stripč-io-ti stripčioti; vksm. bendr.
studijuoti 2 studij-uo-ti studijuoti; vksm. bendr.
stūgauti 1 stūg-au-ti stūgauti; vksm. bendr.
stumdyti 1 stum-dy-ti stumdyti; vksm. bendr.
stumti 3 stum-ti stumti; vksm. bendr.
stverti 1 stver-ti stverti; vksm. bendr.
suabejoti 3 su-ab-ej-o-ti suabejoti; vksm. bendr.
suabsoliutinti 1 su-absoliut-in-ti suabsoliutinti; vksm. bendr.
suaktyvėti 2 su-aktyv-ė-ti suaktyvėti; vksm. bendr.
suaktyvinti 1 su-aktyv-in-ti suaktyvinti; vksm. bendr.
suarti 1 su-ar-ti suarti; vksm. bendr.
suaugti 2 su-aug-ti suaugti; vksm. bendr.
subalansuoti 1 su-balans-uo-ti subalansuoti; vksm. bendr.
suboluoti 1 su-bol-uo-ti suboluoti; vksm. bendr.
subrandinti 1 su-brand-in-ti subrandinti; vksm. bendr.
sučiupti 1 su-čiup-ti sučiupti; vksm. bendr.
sudaiktavardėti 1 su-daikt-a-vard-ė-ti sudaiktavardėti; vksm. bendr.
sudainuoti 1 su-dain-uo-ti sudainuoti; vksm. bendr.
sudarinėti 1 su-dar-inė-ti sudarinėti; vksm. bendr.
sudaryti 53 su-dar-y-ti sudaryti; vksm. bendr.
sudarkyti 1 su-dark-y-ti sudarkyti; vksm. bendr.
sudegint 2 su-deg-in-t sudeginti; vksm. bendr.
sudeginti 3 su-deg-in-ti sudeginti; vksm. bendr.
sudegti 2 su-deg-ti sudegti; vksm. bendr.
sudėliot 1 su-dė-lio-t sudėlioti; vksm. bendr.
suderinti 18 su-der-in-ti suderinti; vksm. bendr.
sudėt 1 su-dė-t sudėti; vksm. bendr.
sudėti 4 su-dė-ti sudėti; vksm. bendr.
sudominti 2 su-dom-in-ti sudominti; vksm. bendr.
sudoroti 2 su-dor-o-ti sudoroti; vksm. bendr.
67
sudraskyti 1 su-drask-y-ti sudraskyti; vksm. bendr.
sudrausti 1 su-draus-ti sudrausti; vksm. bendr.
sudrėkinti 1 su-drėk-in-ti sudrėkinti; vksm. bendr.
sudrumsti 1 su-drums-ti sudrumsti; vksm. bendr.
suduoti 2 su-duo-ti suduoti; vksm. bendr.
sudurt 2 su-dur-t sudurti; vksm. bendr.
sudvasinti 1 su-dvas-in-ti sudvasinti; vksm. bendr.
sueit 1 su-ei-t sueiti; vksm. bendr.
sueiti 1 su-ei-ti sueiti; vksm. bendr.
suėsti 1 su-ės-ti suėsti; vksm. bendr.
sufalsifikuoti 1 su-falsifik-uo-ti sufalsifikuoti; vksm. bendr.
suformuluoti 4 su-form-ul-uo-ti suformuluoti; vksm. bendr.
sugadinti 3 su-gad-in-ti sugadinti; vksm. bendr.
sugalvot 1 su-galv-o-t sugalvoti; vksm. bendr.
sugalvoti 3 su-galv-o-ti sugalvoti; vksm. bendr.
sugebėti 1 su-geb-ė-ti sugebėti; vksm. bendr.
sugerti 3 su-ger-ti sugerti; vksm. bendr.
sugyventi 1 su-gy-v-en-ti sugyventi; vksm. bendr.
sugniuždyti 1 su-gniuž-dy-ti sugniuždyti; vksm. bendr.
sugraduoti 1 su-grad-uo-ti sugraduoti; vksm. bendr.
sugrąžinti 2 su-grąž-in-ti sugrąžinti; vksm. bendr.
sugriauti 4 su-griau-ti sugriauti; vksm. bendr.
sugriežtinti 1 su-griež-t-in-ti sugriežtinti; vksm. bendr.
sugriūti 1 su-griū-ti sugriūti; vksm. bendr.
sugrįžti 16 su-grįž-ti sugrįžti; vksm. bendr.
sugrupuoti 1 su-grup-uo-ti sugrupuoti; vksm. bendr.
suimti 4 su-im-ti suimti; vksm. bendr.
sujudinti 1 su-jud-in-ti sujudinti; vksm. bendr.
sujungti 9 su-jung-ti sujungti; vksm. bendr.
sukalbėt 1 su-kalb-ė-t sukalbėti; vksm. bendr.
sukaupti 5 su-kaup-ti sukaupti; vksm. bendr.
sukelti 26 su-kel-ti sukelti; vksm. bendr.
sukietėti 1 su-kiet-ė-ti sukietėti; vksm. bendr.
sukinėti 1 suk-inė-ti sukinėti; vksm. bendr.
sukinėtis 2 suk-inė-ti-s sukinėtis; vksm. bendr. sngr.
sukioti 1 suk-io-ti sukioti; vksm. bendr.
sukiotis 3 suk-io-ti-s sukiotis; vksm. bendr. sngr.
sukirčiuot 1 su-kirč-iuo-t sukirčiuoti; vksm. bendr.
sukišti 1 su-kiš-ti sukišti; vksm. bendr.
sukloti 2 su-klo-ti sukloti; vksm. bendr.
suklupti 1 su-klup-ti suklupti; vksm. bendr.
suknežinti 1 su-knež-in-ti suknežinti; vksm. bendr.
68
sukomponuoti 1 su-kompon-uo-ti sukomponuoti; vksm. bendr.
sukompostuoti 1 su-kompost-uo-ti sukompostuoti; vksm. bendr.
sukompromituoti 1 su-kompromit-uo-ti sukompromituoti; vksm. bendr.
sukoncentruoti 1 su-koncentr-uo-ti sukoncentruoti; vksm. bendr.
sukonkretinti 2 su-konkret-in-ti sukonkretinti; vksm. bendr.
sukrauti 1 su-krau-ti sukrauti; vksm. bendr.
sukrėsti 1 su-krės-ti sukrėsti; vksm. bendr.
sukt 1 suk-t sukti; vksm. bendr.
sukti 5 suk-ti sukti; vksm. bendr.
suktis 7 suk-ti-s suktis; vksm. bendr. sngr.
sukurpti 1 su-kurp-ti sukurpti; vksm. bendr.
sukurti 44 su-kur-ti sukurti; vksm. bendr.
sukvailinti 1 su-kvail-in-ti sukvailinti; vksm. bendr.
sukviesti 1 su-kvies-ti sukviesti; vksm. bendr.
sulaikyti 12 su-laik-y-ti sulaikyti; vksm. bendr.
sulakstyti 1 su-lak-sty-ti sulakstyti; vksm. bendr.
sulankstyti 2 su-lank-sty-ti sulankstyti; vksm. bendr.
sulaukti 9 su-lauk-ti sulaukti; vksm. bendr.
sulaužyti 2 su-lauž-y-ti sulaužyti; vksm. bendr.
suleisti 2 su-leis-ti suleisti; vksm. bendr.
sulėtinti 2 su-lėt-in-ti sulėtinti; vksm. bendr.
sulygti 1 su-lyg-ti sulygti; vksm. bendr.
sulūžti 1 su-lūž-ti sulūžti; vksm. bendr.
sumainot 1 su-main-o-t sumainoti; vksm. bendr.
sumažėti 1 su-maž-ė-ti sumažėti; vksm. bendr.
sumažinti 28 su-maž-in-ti sumažinti; vksm. bendr.
sumegzti 1 su-megz-ti sumegzti; vksm. bendr.
sumeluoti 1 su-mel-uo-ti sumeluoti; vksm. bendr.
sumenkinti 3 su-menk-in-ti sumenkinti; vksm. bendr.
sumesti 1 su-mes-ti sumesti; vksm. bendr.
suminėti 1 su-min-ė-ti suminėti; vksm. bendr.
suminkštinti 1 su-minkšt-in-ti suminkštinti; vksm. bendr.
sumokėt 2 su-mok-ė-t sumokėti; vksm. bendr.
sumokėti 11 su-mok-ė-ti sumokėti; vksm. bendr.
sumuoti 1 sum-uo-ti sumuoti; vksm. bendr.
sumurmėti 1 su-murm-ė-ti sumurmėti; vksm. bendr.
sumušt 1 su-muš-t sumušti; vksm. bendr.
sumušti 1 su-muš-ti sumušti; vksm. bendr.
sunaikinti 5 su-naik-in-ti sunaikinti; vksm. bendr.
sunaudoti 2 su-naud-o-ti sunaudoti; vksm. bendr.
sunerimti 1 su-ne-rim-ti sunerimti; vksm. bendr.
sunorminti 2 su-norm-in-ti sunorminti; vksm. bendr.
69
suorganizuoti 1 su-organiz-uo-ti suorganizuoti; vksm. bendr.
supainioti 1 su-pain-io-ti supainioti; vksm. bendr.
supaprastinti 1 su-pa-pras-t-in-ti supaprastinti; vksm. bendr.
supažindinti 7 su-pa-žin-din-ti supažindinti; vksm. bendr.
supilti 2 su-pil-ti supilti; vksm. bendr.
supiršti 1 su-pirš-ti supiršti; vksm. bendr.
suplakti 1 su-plak-ti suplakti; vksm. bendr.
suplanuoti 2 su-plan-uo-ti suplanuoti; vksm. bendr.
suprast 6 su-pras-t suprasti; vksm. bendr.
suprasti 61 su-pras-ti suprasti; vksm. bendr.
suprojektuoti 5 su-projekt-uo-ti suprojektuoti; vksm. bendr.
supti 1 sup-ti supti; vksm. bendr.
supūt 1 su-pū-t supūti; vksm. bendr.
surast 2 su-ras-t surasti; vksm. bendr.
surasti 20 su-ras-ti surasti; vksm. bendr.
surašyti 15 su-raš-y-ti surašyti; vksm. bendr.
suredaguoti 2 su-redag-uo-ti suredaguoti; vksm. bendr.
surengti 7 su-reng-ti surengti; vksm. bendr.
suręsti 2 su-ręs-ti suręsti; vksm. bendr.
surikiuoti 1 su-rik-iuo-ti surikiuoti; vksm. bendr.
surinkti 17 su-rink-ti surinkti; vksm. bendr.
suryti 1 su-ry-ti suryti; vksm. bendr.
surūšiuoti 1 su-rūš-iuo-ti surūšiuoti; vksm. bendr.
susaistyti 1 su-sai-sty-ti susaistyti; vksm. bendr.
susekti 1 su-sek-ti susekti; vksm. bendr.
susidaryti 10 su-si-dar-y-ti susidaryti; vksm. bendr. sngr.
susiderint 1 su-si-der-in-t susiderinti; vksm. bendr. sngr.
susidėti 1 su-si-dė-ti susidėti; vksm. bendr. sngr.
susidomėti 1 su-si-dom-ė-ti susidomėti; vksm. bendr. sngr.
susidoroti 1 su-si-dor-o-ti susidoroti; vksm. bendr. sngr.
susidurti 10 su-si-dur-ti susidurti; vksm. bendr. sngr.
susieti 1 su-sie-ti susieti; vksm. bendr.
susiformuoti 3 su-si-form-uo-ti susiformuoti; vksm. bendr. sngr.
susigaudyti 3 su-si-gau-dy-ti susigaudyti; vksm. bendr. sngr.
susigerti 1 su-si-ger-ti susigerti; vksm. bendr. sngr.
susigiminiuoti 1 su-si-gim-iniuo-ti susigiminiuoti; vksm. bendr. sngr.
susiglausti 1 su-si-glaus-ti susiglausti; vksm. bendr. sngr.
susigrąžinti 8 su-si-grąž-in-ti susigrąžinti; vksm. bendr. sngr.
susijungti 2 su-si-jung-ti susijungti; vksm. bendr. sngr.
susikalbėti 1 su-si-kalb-ė-ti susikalbėti; vksm. bendr. sngr.
susikaupti 2 su-si-kaup-ti susikaupti; vksm. bendr. sngr.
susikelt 1 su-si-kel-t susikelti; vksm. bendr. sngr.
70
susikelti 1 su-si-kel-ti susikelti; vksm. bendr. sngr.
susikraut 1 su-si-krau-t susikrauti; vksm. bendr. sngr.
susikurti 1 su-si-kur-ti susikurti; vksm. bendr. sngr.
susikviesti 1 su-si-kvies-ti susikviesti; vksm. bendr. sngr.
susilaikyt 1 su-si-laik-y-t susilaikyti; vksm. bendr. sngr.
susilaikyti 2 su-si-laik-y-ti susilaikyti; vksm. bendr. sngr.
susilaukti 1 su-si-lauk-ti susilaukti; vksm. bendr. sngr.
susileisti 1 su-si-leis-ti susileisti; vksm. bendr. sngr.
susilieti 5 su-si-lie-ti susilieti; vksm. bendr. sngr.
susilpnėti 1 su-silp-n-ė-ti susilpnėti; vksm. bendr.
susimąstyti 3 su-si-mąst-y-ti susimąstyti; vksm. bendr. sngr.
susiorientuoti 1 su-si-orient-uo-ti susiorientuoti; vksm. bendr. sngr.
susipažinti 20 su-si-pa-žin-ti susipažinti; vksm. bendr. sngr.
susipešti 1 su-si-peš-ti susipešti; vksm. bendr. sngr.
susipykt 1 su-si-pyk-t susipykti; vksm. bendr. sngr.
susipykti 1 su-si-pyk-ti susipykti; vksm. bendr. sngr.
susirast 1 su-si-ras-t susirasti; vksm. bendr. sngr.
susirasti 9 su-si-ras-ti susirasti; vksm. bendr. sngr.
susirašinėti 1 su-si-raš-inė-ti susirašinėti; vksm. bendr. sngr.
susirašyt 1 su-si-raš-y-t susirašyti; vksm. bendr. sngr.
susirgti 17 su-sirg-ti susirgti; vksm. bendr.
susirungti 1 su-si-rung-ti susirungti; vksm. bendr. sngr.
susirūpinti 2 su-si-rūp-in-ti susirūpinti; vksm. bendr. sngr.
susisiekti 2 su-si-siek-ti susisiekti; vksm. bendr. sngr.
susiskaidyti 1 su-si-skaid-y-ti susiskaidyti; vksm. bendr. sngr.
susišnekėti 1 su-si-šnek-ė-ti susišnekėti; vksm. bendr. sngr.
susitaikyti 3 su-si-taik-y-ti susitaikyti; vksm. bendr. sngr.
susitaisyti 1 su-si-tais-y-ti susitaisyti; vksm. bendr. sngr.
susitarti 6 su-si-tar-ti susitarti; vksm. bendr. sngr.
susitelkti 4 su-si-telk-ti susitelkti; vksm. bendr. sngr.
susitikinėti 1 su-si-tik-inė-ti susitikinėti; vksm. bendr. sngr.
susitikt 5 su-si-tik-t susitikti; vksm. bendr. sngr.
susitikti 15 su-si-tik-ti susitikti; vksm. bendr. sngr.
susitraukti 1 su-si-trauk-ti susitraukti; vksm. bendr. sngr.
susiturėti 1 su-si-tur-ė-ti susiturėti; vksm. bendr. sngr.
susitvarkyt 2 su-si-tvark-y-t susitvarkyti; vksm. bendr. sngr.
susitvarkyti 4 su-si-tvark-y-ti susitvarkyti; vksm. bendr. sngr.
susiūti 1 su-siū-ti susiūti; vksm. bendr.
susivaldyti 1 su-si-vald-y-ti susivaldyti; vksm. bendr. sngr.
susivokti 1 su-si-vok-ti susivokti; vksm. bendr. sngr.
susižaloti 1 su-si-žal-o-ti susižaloti; vksm. bendr. sngr.
susižiūrėt 1 su-si-žiūr-ė-t susižiūrėti; vksm. bendr. sngr.
71
susižiūrėti 1 su-si-žiūr-ė-ti susižiūrėti; vksm. bendr. sngr.
suskaičiuoti 9 su-skaič-iuo-ti suskaičiuoti; vksm. bendr.
suskaidyti 1 su-skaid-y-ti suskaidyti; vksm. bendr.
suskaldyti 2 su-skal-dy-ti suskaldyti; vksm. bendr.
suskirstyti 16 su-skir-sty-ti suskirstyti; vksm. bendr.
suskleisti 1 su-skleis-ti suskleisti; vksm. bendr.
susmegti 1 su-smeg-ti susmegti; vksm. bendr.
susodinti 1 su-sod-in-ti susodinti; vksm. bendr.
suspausti 5 su-spaus-ti suspausti; vksm. bendr.
suspėti 3 su-spė-ti suspėti; vksm. bendr.
susprogdinti 1 su-sprog-din-ti susprogdinti; vksm. bendr.
sustabdyt 1 su-stabd-y-t sustabdyti; vksm. bendr.
sustabdyti 19 su-stabd-y-ti sustabdyti; vksm. bendr.
sustingti 1 su-sting-ti sustingti; vksm. bendr.
sustiprėti 2 su-stipr-ė-ti sustiprėti; vksm. bendr.
sustiprinti 2 su-stipr-in-ti sustiprinti; vksm. bendr.
sustot 1 su-sto-t sustoti; vksm. bendr.
sustoti 5 su-sto-ti sustoti; vksm. bendr.
sušalti 1 su-šal-ti sušalti; vksm. bendr.
sušaudyt 1 su-šau-dy-t sušaudyti; vksm. bendr.
sušaukti 1 su-šauk-ti sušaukti; vksm. bendr.
sušelpti 2 su-šelp-ti sušelpti; vksm. bendr.
sušerti 1 su-šer-ti sušerti; vksm. bendr.
sušilti 1 su-šil-ti sušilti; vksm. bendr.
sušukuoti 1 su-šuk-uo-ti sušukuoti; vksm. bendr.
sušvelninti 3 su-šveln-in-ti sušvelninti; vksm. bendr.
sušvirkšti 1 su-švirkš-ti sušvirkšti; vksm. bendr.
sutaisyt 1 su-tais-y-t sutaisyti; vksm. bendr.
sutaisyti 2 su-tais-y-ti sutaisyti; vksm. bendr.
sutapatinti 2 su-t-a-pat-in-ti sutapatinti; vksm. bendr.
sutapti 5 su-tap-ti sutapti; vksm. bendr.
sutarti 1 su-tar-ti sutarti; vksm. bendr.
sutaupyt 1 su-taup-y-t sutaupyti; vksm. bendr.
sutaupyti 3 su-taup-y-ti sutaupyti; vksm. bendr.
suteikt 1 su-teik-t suteikti; vksm. bendr.
suteikti 31 su-teik-ti suteikti; vksm. bendr.
sutelkti 3 su-telk-ti sutelkti; vksm. bendr.
sutepti 1 su-tep-ti sutepti; vksm. bendr.
sutikt 3 su-tik-t sutikti; vksm. bendr.
sutikti 8 su-tik-ti sutikti; vksm. bendr.
sutraiškyti 1 su-traišk-y-ti sutraiškyti; vksm. bendr.
sutramdyti 3 su-tram-dy-ti sutramdyti; vksm. bendr.
72
sutraukti 1 su-trauk-ti sutraukti; vksm. bendr.
sutrikdyti 2 su-trik-dy-ti sutrikdyti; vksm. bendr.
sutrikti 2 su-trik-ti sutrikti; vksm. bendr.
sutriuškinti 1 su-triušk-in-ti sutriuškinti; vksm. bendr.
sutrypti 1 su-tryp-ti sutrypti; vksm. bendr.
sutrukdyti 2 su-truk-dy-ti sutrukdyti; vksm. bendr.
sutrumpinti 4 su-trump-in-ti sutrumpinti; vksm. bendr.
sutvarkyt 6 su-tvark-y-t sutvarkyti; vksm. bendr.
sutvirtinti 3 su-tvirt-in-ti sutvirtinti; vksm. bendr.
suvaidinti 1 su-vaid-in-ti suvaidinti; vksm. bendr.
suvaldyti 2 su-vald-y-ti suvaldyti; vksm. bendr.
suvalgyti 2 su-valg-y-ti suvalgyti; vksm. bendr.
suvaryti 2 su-var-y-ti suvaryti; vksm. bendr.
suvartoti 1 su-vart-o-ti suvartoti; vksm. bendr.
suversti 1 su-vers-ti suversti; vksm. bendr.
suveržti 1 su-verž-ti suveržti; vksm. bendr.
suvienyti 1 su-vien-y-ti suvienyti; vksm. bendr.
suvilgyt 1 su-vilg-y-t suvilgyti; vksm. bendr.
suvilioti 1 su-vil-io-ti suvilioti; vksm. bendr.
suvirinti 1 su-vir-in-ti suvirinti; vksm. bendr.
suvokti 26 su-vok-ti suvokti; vksm. bendr.
sužadinti 1 su-žad-in-ti sužadinti; vksm. bendr.
sužeisti 1 su-žeis-ti sužeisti; vksm. bendr.
sužinoti 25 su-žin-o-ti sužinoti; vksm. bendr.
svaigintis 1 svaig-in-ti-s svaigintis; vksm. bendr. sngr.
svaigti 2 svaig-ti svaigti; vksm. bendr.
svajoti 1 svaj-o-ti svajoti; vksm. bendr.
svarstyt 1 svar-sty-t svarstyti; vksm. bendr.
svarstyti 11 svar-sty-ti svarstyti; vksm. bendr.
sveikint 1 sveik-in-t sveikinti; vksm. bendr.
sveikintis 1 sveik-in-ti-s sveikintis; vksm. bendr. sngr.
sverti 2 sver-ti sverti; vksm. bendr.
sverti 1 sver-ti sverti; vksm. bendr.
sviesti 1 svies-ti sviesti; vksm. bendr.
